ano_pesquisa,arquivo_origem,id_resposta,idade,idade_q1_a_1,genero,raca_etnia,pcd,estado,uf,regiao,nivel_ensino,q1_m_area_de_formacao,"q2_a_situacao_de_trabalho",setor,atua_como_gestor,cargo_atual,nivel,faixa_salarial,experiencia_dados,experiencia_ti,modelo_trabalho_ideal,funcao_atuacao,fontes_dados,idade_q3_e,ia_uso_empresa,"q3_g_motivos_para_nao_usar_ai_generativa_e_llm","q3_h_empresa_esta_conseguindo_ter_bons_resultados_com_llms",linguagem_preferida,cloud_preferida,bi_preferida,"ferramenta_de_bi_preferida",tecnologia_data_lake,"tecnologia_data_warehouse"
2023,"State of Data 2023-2024 - Kaggle.csv","mr67pzwwxjythmr6752rjrrx273bjhm0",28,25-29,Masculino,Parda,Não,"Alagoas (AL)",AL,Nordeste,Graduação/Bacharelado,"Outras Engenharias","Empreendedor ou Empregado (CNPJ)","Tecnologia/Fábrica de Software",0,"Analista de Dados/Data Analyst",Pleno,"de R$ 6.001/mês a R$ 8.000/mês","de 1 a 2 anos","Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","*Análise de Dados/BI:* Extrai e cruza dados unindo diferentes fontes da informação; analisa dados visando identificar padrões, gerar insights e levantar perguntas; desenvolve dashboards, relatórios e visualizações de dados em ferramentas de BI.","Dados relacionais (estruturados em bancos SQL), Planilhas",,,,,"Dados relacionais (estruturados em bancos SQL), Planilhas",Python,"Microsoft PowerBI","Azure (Microsoft), Servidores On Premise/Não utilizamos Cloud",,
2023,"State of Data 2023-2024 - Kaggle.csv","mram3jjxbzf3o61x9e80mrawhd8btic5",36,35-39,Feminino,Branca,Não,"São Paulo (SP)",SP,Sudeste,Pós-graduação,"Economia/ Administração / Contabilidade / Finanças/ Negócios","Empreendedor ou Empregado (CNPJ)","Tecnologia/Fábrica de Software",1,,,"de R$ 16.001/mês a R$ 20.000/mês","Mais de 10 anos","Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)",,,"Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)., Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Existe um direcionamento centralizado para que colaboradores utilizem soluções baseadas em AI Generativa (como o ChatGPT por exemplo), incluindo apoio nos custos das ferramentas.","Falta de expertise das equipes técnicas ou falta de recursos internos., Retorno sobre investimento (ROI) não comprovado de IA Generativa., Falta de compreensão dos casos de uso.",,,,,,,
2023,"State of Data 2023-2024 - Kaggle.csv","mrbznhnsrxg6gvxb76mmrbznhnhggsxy",32,30-34,Masculino,Branca,Não,"São Paulo (SP)",SP,Sudeste,Pós-graduação,"Outras Engenharias","Empregado (CLT)","Finanças ou Bancos",0,"Analista de Dados/Data Analyst",Sênior,"de R$ 8.001/mês a R$ 12.000/mês","de 4 a 6 anos","Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","*Análise de Dados/BI:* Extrai e cruza dados unindo diferentes fontes da informação; analisa dados visando identificar padrões, gerar insights e levantar perguntas; desenvolve dashboards, relatórios e visualizações de dados em ferramentas de BI.","Dados relacionais (estruturados em bancos SQL), Planilhas, Dados armazenados em bancos NoSQL",,,,,"Dados relacionais (estruturados em bancos SQL), Planilhas",Python,"Microsoft PowerBI","Amazon Web Services (AWS)",,
2023,"State of Data 2023-2024 - Kaggle.csv","mrzz1jx4a4svc1uomrzz1wq2r11ne9kq",25,25-29,Feminino,Parda,Não,"Minas Gerais (MG)",MG,Sudeste,Graduação/Bacharelado,"Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais","Empregado (CLT)","Tecnologia/Fábrica de Software",0,"Analista de Dados/Data Analyst",Júnior,"de R$ 2.001/mês a R$ 3.000/mês","de 1 a 2 anos","de 1 a 2 anos","Modelo 100% remoto","*Ciência de Dados/Machine Learning/AI: *Desenha e executa experimentos com o objetivo de responder perguntas do negócio; desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.","Planilhas, Dados relacionais (estruturados em bancos SQL)",,,,,"Dados relacionais (estruturados em bancos SQL)",Python,"Microsoft PowerBI","Azure (Microsoft)",,
2023,"State of Data 2023-2024 - Kaggle.csv","ms0ndu5t0g58m5stt8nms0nduud7kx11",25,25-29,Feminino,Branca,Não,"São Paulo (SP)",SP,Sudeste,Graduação/Bacharelado,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Tecnologia/Fábrica de Software",0,"Analista de BI/BI Analyst",Júnior,"de R$ 6.001/mês a R$ 8.000/mês","de 3 a 4 anos","de 1 a 2 anos","Modelo 100% remoto","*Análise de Dados/BI:* Extrai e cruza dados unindo diferentes fontes da informação; analisa dados visando identificar padrões, gerar insights e levantar perguntas; desenvolve dashboards, relatórios e visualizações de dados em ferramentas de BI.","Dados relacionais (estruturados em bancos SQL), Planilhas",,,,,"Dados relacionais (estruturados em bancos SQL), Planilhas",Python,"Amazon Quicksight","Amazon Web Services (AWS)",,
2023,"State of Data 2023-2024 - Kaggle.csv","ms0ri827vy12u29qms0ri8q1iy67mpad",25,25-29,Feminino,Preta,Não,"Bahia (BA)",BA,Nordeste,Graduação/Bacharelado,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Outra Opção",0,"Analista de Dados/Data Analyst",Pleno,"de R$ 6.001/mês a R$ 8.000/mês","de 1 a 2 anos","de 5 a 6 anos","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","*Análise de Dados/BI:* Extrai e cruza dados unindo diferentes fontes da informação; analisa dados visando identificar padrões, gerar insights e levantar perguntas; desenvolve dashboards, relatórios e visualizações de dados em ferramentas de BI.","Dados relacionais (estruturados em bancos SQL), Planilhas",,,,,"Dados relacionais (estruturados em bancos SQL), Planilhas",Python,Looker,"Google Cloud (GCP)",,
2023,"State of Data 2023-2024 - Kaggle.csv","msapu84sxkh7amjoz9nqizekdnmrhjug",28,25-29,Feminino,Branca,Não,"Minas Gerais (MG)",MG,Sudeste,Graduação/Bacharelado,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Finanças ou Bancos",0,"Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect",Pleno,"de R$ 12.001/mês a R$ 16.000/mês","de 3 a 4 anos","de 1 a 2 anos","Modelo 100% remoto","*Análise de Dados/BI:* Extrai e cruza dados unindo diferentes fontes da informação; analisa dados visando identificar padrões, gerar insights e levantar perguntas; desenvolve dashboards, relatórios e visualizações de dados em ferramentas de BI.","Dados relacionais (estruturados em bancos SQL), Dados armazenados em bancos NoSQL, Textos/Documentos, Planilhas",,,,,"Dados relacionais (estruturados em bancos SQL), Dados armazenados em bancos NoSQL",Python,"Microsoft PowerBI","Amazon Web Services (AWS), Google Cloud (GCP)",,
2023,"State of Data 2023-2024 - Kaggle.csv","msiahdckvsvg4xydj6msiahq604rqp5n",32,30-34,Masculino,Branca,Não,"Minas Gerais (MG)",MG,Sudeste,Graduação/Bacharelado,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Finanças ou Bancos",0,"Analista de Dados/Data Analyst",Júnior,"de R$ 4.001/mês a R$ 6.000/mês","de 1 a 2 anos","Mais de 10 anos","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","*Análise de Dados/BI:* Extrai e cruza dados unindo diferentes fontes da informação; analisa dados visando identificar padrões, gerar insights e levantar perguntas; desenvolve dashboards, relatórios e visualizações de dados em ferramentas de BI.","Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas, Dados armazenados em bancos NoSQL",,,,,"Textos/Documentos, Dados relacionais (estruturados em bancos SQL)",Python,"Microsoft PowerBI","Amazon Web Services (AWS)",,
2023,"State of Data 2023-2024 - Kaggle.csv","mskkwafnnmtdofvamskk4qepi48vs7mw",26,25-29,Masculino,Branca,Não,"São Paulo (SP)",SP,Sudeste,Graduação/Bacharelado,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Finanças ou Bancos",0,"Cientista de Dados/Data Scientist",Pleno,"de R$ 8.001/mês a R$ 12.000/mês","de 1 a 2 anos","Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","*Ciência de Dados/Machine Learning/AI: *Desenha e executa experimentos com o objetivo de responder perguntas do negócio; desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.","Dados relacionais (estruturados em bancos SQL)",,,,,"Dados relacionais (estruturados em bancos SQL)",Python,"Amazon Quicksight","Amazon Web Services (AWS)",,
2023,"State of Data 2023-2024 - Kaggle.csv","msxkpw0brhp3s1umsxkpwjopy5y4umaw",42,40-44,Masculino,Amarela,Não,"Espírito Santo (ES)",ES,Sudeste,Pós-graduação,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Desempregado, buscando recolocação",,,,,,,,,,,,,,,,,,,,
2023,"State of Data 2023-2024 - Kaggle.csv","mszfzsulbe92xftdu745nmszfzsulyz6",39,35-39,Masculino,Parda,Não,"Minas Gerais (MG)",MG,Sudeste,Mestrado,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Trabalho na área Acadêmica/Pesquisador",,,,,,,,,,,,,,,,,,,,
2023,"State of Data 2023-2024 - Kaggle.csv","mt2rp2h4hybh6ex71j8mt2rpi3aqamq5",43,40-44,Feminino,Preta,Não,"Minas Gerais (MG)",MG,Sudeste,Pós-graduação,"Marketing / Publicidade / Comunicação / Jornalismo","Empregado (CLT)","Tecnologia/Fábrica de Software",1,,,"de R$ 4.001/mês a R$ 6.000/mês","de 3 a 4 anos","Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)",,,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco).","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.","Falta de expertise das equipes técnicas ou falta de recursos internos.",,,,,,,
2023,"State of Data 2023-2024 - Kaggle.csv","mt59fw4zoq9g3jsfbwq80qfjmt59fwcu",27,25-29,Masculino,Branca,Não,"Distrito Federal (DF)",DF,Centro-oeste,Graduação/Bacharelado,"Outras Engenharias","Empregado (CLT)","Setor Alimentício",0,"Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect",Pleno,"de R$ 6.001/mês a R$ 8.000/mês","de 3 a 4 anos","Menos de 1 ano","Modelo 100% remoto","*Engenharia de Dados:* Modela soluções de arquitetura de dados; define modelagens de repositórios de dados (Data Lake, Data Warehouse, Data Lakehouse); desenvolve estratégias de aquisição de dados, recuperação de informação e pipelines de dados.","Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas, Imagens",,,,,"Dados relacionais (estruturados em bancos SQL), Planilhas",Python,Metabase,"Amazon Web Services (AWS)","Amazon S3 + Redshift + Athena","AWS Redshift"
2023,"State of Data 2023-2024 - Kaggle.csv","mt68m7c5sagmt68ujgch49h9kjt7vrcu",41,40-44,Masculino,Preta,Não,"São Paulo (SP)",SP,Sudeste,Pós-graduação,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Setor Público",1,,,"de R$ 8.001/mês a R$ 12.000/mês","Não tenho experiência na área de dados","de 3 a 4 anos","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)",,,"Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","Não sei opinar sobre isso.","Não sei informar.",,,,,,,
2023,"State of Data 2023-2024 - Kaggle.csv","mt73n9uqzowu500omt73n9mvdpkw70u4",37,35-39,Masculino,Branca,Não,"São Paulo (SP)",SP,Sudeste,Pós-graduação,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Setor Farmaceutico",1,,,"de R$ 20.001/mês a R$ 25.000/mês","de 7 a 10 anos","Mais de 10 anos","Modelo híbrido com dias fixos de trabalho presencial",,,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco).","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.","Preocupações com propriedade intelectual (ou seja, tipo de dados usados para treinar um modelo de terceiros)., Alta direção da empresa não vê valor ou não vê esse tipo de iniciativa como prioridade., Preocupações com segurança e privacidade de dados.",,,,,,,
2023,"State of Data 2023-2024 - Kaggle.csv","mtbbqypz3q0y4v441yjmtbbqymrh9hjv",24,22-24,Masculino,Branca,Não,"Minas Gerais (MG)",MG,Sudeste,Graduação/Bacharelado,"Outras Engenharias","Empreendedor ou Empregado (CNPJ)","Área de Consultoria",0,"Cientista de Dados/Data Scientist",Júnior,"de R$ 4.001/mês a R$ 6.000/mês","de 1 a 2 anos","de 3 a 4 anos","Modelo 100% remoto","*Ciência de Dados/Machine Learning/AI: *Desenha e executa experimentos com o objetivo de responder perguntas do negócio; desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.","Dados relacionais (estruturados em bancos SQL), Dados armazenados em bancos NoSQL, Planilhas, Dados georeferenciados",,,,,"Dados relacionais (estruturados em bancos SQL), Dados armazenados em bancos NoSQL",Python,"Microsoft PowerBI","Azure (Microsoft)",,
2023,"State of Data 2023-2024 - Kaggle.csv","mtch28nnzxx5obfbulmtch2o4rd9xbe1",28,25-29,Feminino,Branca,Não,"São Paulo (SP)",SP,Sudeste,Graduação/Bacharelado,"Economia/ Administração / Contabilidade / Finanças/ Negócios","Empreendedor ou Empregado (CNPJ)","Tecnologia/Fábrica de Software",0,"Analista de Negócios/Business Analyst",Pleno,"de R$ 4.001/mês a R$ 6.000/mês","Menos de 1 ano","de 1 a 2 anos","Modelo 100% remoto","Não atuo em nenhuma das frentes citadas.","Textos/Documentos, Planilhas",,,,,"Vídeos, Planilhas",Python,"Microsoft PowerBI","Amazon Web Services (AWS)",,
2023,"State of Data 2023-2024 - Kaggle.csv","mtwvhpmtk52omtwvhpv5p6nlj1sw4v5p",27,25-29,Masculino,Branca,Não,"São Paulo (SP)",SP,Sudeste,Graduação/Bacharelado,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)",Internet/Ecommerce,1,,,"de R$ 20.001/mês a R$ 25.000/mês","de 4 a 6 anos","Menos de 1 ano","Modelo 100% remoto",,,"Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)., Existe um direcionamento centralizado para que colaboradores utilizem soluções baseadas em AI Generativa (como o ChatGPT por exemplo), incluindo apoio nos custos das ferramentas., Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.","Falta de compreensão dos casos de uso.",,,,,,,
2023,"State of Data 2023-2024 - Kaggle.csv","mu1om4bgn2w7uj1zmpmu1om4bj1u04tq",32,30-34,Feminino,Branca,Não,"São Paulo (SP)",SP,Sudeste,Mestrado,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)",Varejo,1,,,"de R$ 25.001/mês a R$ 30.000/mês","de 5 a 6 anos","Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)",,,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco).","Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot,AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento.","Incerteza em relação a regulamentação ou questões regulatórias., Preocupações com segurança e privacidade de dados., Falta de compreensão dos casos de uso.",,,,,,,
